location,size,total_sqft,bath,price,bhk,price_per_sqft
"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",2 BHK,1200.0,2.0,52.0,2,4333.333333333333
"Block C, Section 2, Mirpur, Dhaka",4 Bedroom,2250.0,4.0,110.0,4,4888.888888888889
"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,1550.0,2.0,80.0,3,5161.290322580645
"Middle Paikpara, Mirpur, Dhaka",4 Bedroom,1200.0,5.0,325.0,4,27083.333333333332
"Taltola, Khilgaon, Dhaka",7 Bedroom,1800.0,7.0,250.0,7,13888.888888888889
"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,1200.0,2.0,60.0,2,5000.0
"South Monipur, Mirpur, Dhaka",2 BHK,1327.0,2.0,98.0,2,7385.079125847777
"Gulshan 2, Gulshan, Dhaka",2 BHK,1186.0,2.0,58.0,2,4890.387858347386
"Gulshan 1, Gulshan, Dhaka",3 Bedroom,1783.0,3.0,115.0,3,6449.8037016264725
"Dolipara, Uttara, Dhaka",3 BHK,1400.0,3.0,56.0,3,4000.0
"Sector 3, Uttara, Dhaka",2 BHK,980.0,2.0,48.0,2,4897.959183673469
"Pirerbag, Mirpur, Dhaka",2 BHK,1285.0,2.0,82.0,2,6381.322957198444
"Sector 4, Uttara, Dhaka",3 BHK,912.0,2.0,70.0,3,7675.438596491228
"Eskaton, Dhaka",2 BHK,1225.0,2.0,47.6,2,3885.714285714286
"Baridhara, Dhaka",2 BHK,1075.0,2.0,53.0,2,4930.232558139535
"Banani, Dhaka",3 BHK,1260.0,2.0,54.0,3,4285.714285714285
"Kajla, Jatra Bari, Dhaka",3 BHK,1282.0,2.0,48.7,3,3798.751950078003
"Sector 5, Uttara, Dhaka",3 BHK,1909.0,3.0,88.0,3,4609.743321110529
"Eskaton, Dhaka",2 BHK,1359.0,2.0,87.0,2,6401.766004415011
"Block D, Bashundhara R-A, Dhaka",2 BHK,1207.0,2.0,43.5,2,3603.976801988401
"Eskaton, Dhaka",4 Bedroom,1736.0,6.0,190.0,4,10944.700460829494
"Kakrail, Dhaka",4 BHK,2850.0,4.0,428.0,4,15017.543859649122
"Lalmatia, Dhaka",3 BHK,1595.0,3.0,65.0,3,4075.2351097178685
"Sector 11, Uttara, Dhaka",3 BHK,1798.0,3.0,89.0,3,4949.944382647386
"Baridhara, Dhaka",3 BHK,1475.0,3.0,78.29,3,5307.796610169492
"Sector 6, Uttara, Dhaka",3 BHK,1580.0,3.0,100.0,3,6329.113924050633
"1st Colony, Mirpur, Dhaka",2 BHK,1295.0,2.0,65.0,2,5019.305019305019
"Baridhara, Dhaka",6 Bedroom,3600.0,6.0,141.0,6,3916.6666666666665
"Sector 11, Uttara, Dhaka",1 BHK,589.0,1.0,27.0,1,4584.040747028863
"Uttar Badda, Badda, Dhaka",3 BHK,1415.0,3.0,78.0,3,5512.367491166077
"Block B, Bashundhara R-A, Dhaka",3 BHK,1787.0,3.0,98.29,3,5500.279798545048
"Sector 11, Uttara, Dhaka",3 BHK,1787.0,3.0,125.0,3,6994.963626189144
"Sector 4, Uttara, Dhaka",3 BHK,1475.0,2.0,90.0,3,6101.6949152542375
"Mohammadpur, Dhaka",4 BHK,2000.0,4.0,75.5,4,3775.0
"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,984.0,2.0,44.28,2,4500.0
"Chandmiya Housing, Mohammadpur, Dhaka",3 BHK,2405.0,4.0,260.0,3,10810.81081081081
"Block G, Bashundhara R-A, Dhaka",2 BHK,1080.0,2.0,72.0,2,6666.666666666667
"Block C, Aftab Nagar, Dhaka",2 Bedroom,1500.0,2.0,115.0,2,7666.666666666667
"East Merul Badda, Merul Badda, Badda, Dhaka",3 BHK,1900.0,3.0,119.0,3,6263.1578947368425
"Sector 11, Uttara, Dhaka",2 BHK,805.0,2.0,22.14,2,2750.3105590062114
"Sector 4, Uttara, Dhaka",2 BHK,1153.0,2.0,56.4,2,4891.587163920208
"Baridhara, Dhaka",2 BHK,1148.0,2.0,60.0,2,5226.480836236934
"Sector 12, Uttara, Dhaka",2 BHK,1110.0,2.0,55.0,2,4954.954954954955
"Sector 6, Uttara, Dhaka",2 BHK,1100.0,2.0,42.0,2,3818.181818181818
"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",2 BHK,1290.0,2.0,110.0,2,8527.131782945737
"Sector 3, Uttara, Dhaka",3 BHK,1500.0,2.0,65.0,3,4333.333333333333
"Block J, Bashundhara R-A, Dhaka",2 BHK,1080.0,2.0,39.0,2,3611.1111111111113
"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",3 BHK,1933.0,3.0,129.0,3,6673.564407656492
"Faydabad, Dakshin Khan, Dhaka",5 Bedroom,3500.0,5.0,150.0,5,4285.714285714285
"Baridhara, Dhaka",2 BHK,1060.0,2.0,60.0,2,5660.377358490566
"Sector 1, Block F, Aftab Nagar, Dhaka",1 BHK,645.0,1.0,16.45,1,2550.3875968992247
"Block I, Bashundhara R-A, Dhaka",8 Bedroom,2600.0,8.0,180.0,8,6923.076923076923
"Sector 2, Block F, Aftab Nagar, Dhaka",1 BHK,645.0,1.0,16.45,1,2550.3875968992247
"Block H, Bashundhara R-A, Dhaka",3 BHK,1644.0,3.0,84.0,3,5109.489051094891
"Sector 4, Uttara, Dhaka",2 BHK,1285.0,2.0,72.5,2,5642.023346303502
"Section 2, Mirpur, Dhaka",3 Bedroom,1200.0,3.0,90.0,3,7500.0
"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,910.0,2.0,40.0,2,4395.604395604396
"Lalmatia, Dhaka",3 BHK,1577.0,3.0,70.0,3,4438.807863031072
"Sector 3, Uttara, Dhaka",3 Bedroom,4050.0,3.0,280.0,3,6913.580246913581
"Sector 10, Uttara, Dhaka",3 BHK,2420.0,3.0,185.0,3,7644.628099173554
"Mohammadpur, Dhaka",2 BHK,800.0,1.0,20.0,2,2500.0
"Block F, aziz Moholla, Mohammadpur, Dhaka",2 BHK,1060.0,2.0,55.0,2,5188.679245283019
"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",2 BHK,1270.0,2.0,93.0,2,7322.834645669292
"Mohammadia Housing Society, Mohammadpur, Dhaka",2 BHK,900.0,2.0,22.5,2,2500.0
"Block D, Mansurabad Housing Society, Adabor, Dhaka",2 Bedroom,1280.0,2.0,69.0,2,5390.625
"Block C, Bashundhara R-A, Dhaka",4 Bedroom,1200.0,2.0,95.0,4,7916.666666666667
"Mohakhali DOHS, Dhaka",2 BHK,1025.0,2.0,36.0,2,3512.1951219512193
"Mohakhali DOHS, Dhaka",2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
"Block K, Bashundhara R-A, Dhaka",5 Bedroom,1200.0,5.0,170.0,5,14166.666666666666
"Block K, Bashundhara R-A, Dhaka",3 BHK,3045.0,3.0,170.0,3,5582.922824302134
"Faydabad, Dakshin Khan, Dhaka",4 Bedroom,2900.0,3.0,300.0,4,10344.827586206897
"Banani, Dhaka",3 BHK,1500.0,3.0,75.5,3,5033.333333333333
"Sector 11, Uttara, Dhaka",2 BHK,1295.0,2.0,43.9,2,3389.96138996139
"Block A, Bashundhara R-A, Dhaka",2 BHK,1162.0,2.0,59.9,2,5154.9053356282275
"Sector 10, Uttara, Dhaka",2 BHK,1035.0,2.0,49.2,2,4753.623188405797
"Sector 13, Uttara, Dhaka",4 Bedroom,1600.0,4.0,52.8,4,3300.0
"Sector 1, Uttara, Dhaka",3 BHK,1464.0,3.0,46.0,3,3142.0765027322404
"Jigatola, Hazaribag, Dhaka",3 BHK,1866.0,2.0,61.58,3,3300.10718113612
"Sector 13, Uttara, Dhaka",2 BHK,700.0,1.0,26.0,2,3714.285714285714
"Block J, Baridhara, Dhaka",3 BHK,1804.0,3.0,120.0,3,6651.884700665189
"Kallyanpur, Mirpur, Dhaka",2 BHK,913.0,2.0,32.0,2,3504.9288061336256
"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",3 BHK,1868.0,3.0,131.0,3,7012.847965738758
"Gulshan 1, Gulshan, Dhaka",2 BHK,883.0,2.0,45.0,2,5096.262740656852
"Baridhara, Dhaka",2 Bedroom,900.0,2.0,110.0,2,12222.222222222223
"Baridhara, Dhaka",3 BHK,1664.0,2.0,73.95,3,4444.110576923077
"Wari, Sutrapur, Dhaka",3 BHK,2026.0,3.0,132.0,3,6515.301085883514
"Dhanmondi, Dhaka",2 BHK,1210.0,2.0,80.9,2,6685.950413223141
"Gulshan 1, Gulshan, Dhaka",4 Bedroom,4111.0,4.0,250.0,4,6081.24543906592
"Block J, Bashundhara R-A, Dhaka",3 BHK,1762.0,3.0,91.45,3,5190.124858115778
"Sector 1, Uttara, Dhaka",3 BHK,1252.0,3.0,55.0,3,4392.97124600639
"Dhanmondi, Dhaka",2 BHK,861.0,2.0,34.5,2,4006.968641114983
"Mohammadpur, Dhaka",3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
"Banani, Dhaka",6 Bedroom,1450.0,6.0,250.0,6,17241.379310344826
"Sector 5, Uttara, Dhaka",3 BHK,1490.0,3.0,78.8,3,5288.5906040268455
"Gulshan 2, Gulshan, Dhaka",3 BHK,1075.0,2.0,46.0,3,4279.069767441861
"Block D, Bashundhara R-A, Dhaka",3 BHK,1425.0,2.0,94.0,3,6596.491228070176
"Mirpur, Dhaka",2 BHK,1200.0,2.0,40.0,2,3333.3333333333335
"Hatirpool, Dhaka",3 BHK,1280.0,2.0,56.0,3,4375.0
"South Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,1084.0,2.0,50.0,2,4612.546125461255
"Gulshan 2, Gulshan, Dhaka",2 BHK,1015.0,2.0,25.88,2,2549.753694581281
