area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",3 BHK,N/A,1693,3,3,57.39
Built-up  Area,Ready To Move,"Sector 9, Uttara, Dhaka",3 BHK,N/A,1925,3,,125
Super built-up  Area,21-Dec,"Sector 14, Uttara, Dhaka",2 BHK,N/A,700,2,1,36
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1070,2,1,45.5
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1724,3,2,125
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,N/A,1290,2,2,56.12
Built-up  Area,Ready To Move,"Kajla, Jatra Bari, Dhaka",2 BHK,N/A,1143,2,2,45
Built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 BHK,N/A,1296,2,,81
Super built-up  Area,19-Dec,"Sector 7, Uttara, Dhaka",3 BHK,N/A,1254,3,2,38
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",1 BHK,N/A,600,1,0,38
Plot  Area,Ready To Move,"Sector 10, Uttara, Dhaka",1 Bedroom,N/A,660,1,0,48
Super built-up  Area,19-Sep,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",2 BHK,N/A,1330.74,2,2,91.79
Plot  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",8 Bedroom,N/A,600,9,,200
Super built-up  Area,Ready To Move,"West Malibag, Malibagh, Dhaka",2 BHK,N/A,970,2,0,33
Super built-up  Area,20-Sep,"Banani, Dhaka",2 BHK,N/A,1459,2,1,94.82
Plot  Area,Ready To Move,"Sector 10, Uttara, Dhaka",2 Bedroom,N/A,800,1,1,130
Built-up  Area,Ready To Move,"Block A, Bashundhara R-A, Dhaka",2 BHK,N/A,869,2,1,36
Super built-up  Area,Ready To Move,"Banani, Dhaka",2 BHK,N/A,1270,2,1,50
Super built-up  Area,18-Mar,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,1670,3,1,99
Built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,2010,3,2,91
Super built-up  Area,Ready To Move,"Kakrail, Dhaka",2 BHK,N/A,1185,2,2,75
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1600,2,3,75
Super built-up  Area,Ready To Move,"Block I, Bashundhara R-A, Dhaka",2 BHK,N/A,1200,2,2,44
Built-up  Area,20-Feb,"Malibagh, Dhaka",4 Bedroom,N/A,3010 - 3410,,,192
Super built-up  Area,Ready To Move,"Malibagh, Dhaka",2 BHK,N/A,1500,2,2,185
Plot  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",6 Bedroom,N/A,1407,4,1,150
Super built-up  Area,Ready To Move,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",2 BHK,N/A,840,2,2,45
Plot  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",3 Bedroom,N/A,4395,3,2,240
Super built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",2 BHK,N/A,845,2,1,55
Plot  Area,Ready To Move,"Sector 5, Uttara, Dhaka",4 Bedroom,N/A,5700,5,3,650
Built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",2 BHK,N/A,1160,2,2,44
Built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",8 Bedroom,N/A,3000,8,0,140
Super built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",2 BHK,N/A,1100,2,1,62
Super built-up  Area,18-Apr,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,1140,2,3,43
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1220,2,1,57
Plot  Area,Ready To Move,"Maghbazar, Dhaka",8 Bedroom,N/A,1350,7,0,85
Super built-up  Area,Ready To Move,"Block I Extension, Bashundhara R-A, Dhaka",2 BHK,N/A,1005,2,1,36.68
Plot  Area,Ready To Move,"West Kalachandpur, Kalachandpur, Dhaka",3 Bedroom,N/A,500,3,2,100
Super built-up  Area,20-Aug,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1358,2,1,80.58
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1569,3,1,101
Super built-up  Area,18-Apr,"Badda, Dhaka",2 BHK,N/A,1240,2,1,70
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,2089,3,2,140
Super built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1206,2,1,48.23
Super built-up  Area,Ready To Move,"East Badda, Badda, Dhaka",2 BHK,N/A,1150,2,3,40
Built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,2511,3,3,205
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,460,1,0,22
Built-up  Area,Ready To Move,"Kamal Sarani, South Pirerbag, Pirerbag, Mirpur, Dhaka",6 Bedroom,N/A,4400,6,3,250
Super built-up  Area,Ready To Move,"Block A, Niketan, Dhaka",3 BHK,N/A,1660,2,2,105
Built-up  Area,18-Oct,"Banani, Dhaka",4 Bedroom,N/A,2957 - 3450,,,224.5
Super built-up  Area,19-Mar,"Banani, Dhaka",2 BHK,N/A,1326,2,2,78
Super built-up  Area,Ready To Move,"Banani, Dhaka",3 BHK,N/A,1325,2,2,60.8
Super built-up  Area,Ready To Move,"East Goran, Goran, Khilgaon, Dhaka",3 BHK,N/A,1499,5,2,102
Built-up  Area,Ready To Move,"Block H, Bashundhara R-A, Dhaka",6 Bedroom,N/A,3000,7,2,210
Super built-up  Area,Ready To Move,"Block C, Section 13, Mirpur, Dhaka",3 BHK,N/A,1665,3,2,88
Super built-up  Area,17-Sep,"Block I, Bashundhara R-A, Dhaka",2 BHK,N/A,708,2,2,37
Super built-up  Area,Ready To Move,"Block B, Bashundhara R-A, Dhaka",2 BHK,N/A,1060,2,2,58.06
Plot  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",6 Bedroom,N/A,710,6,3,160
Built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,1000,2,2,70
Super built-up  Area,18-Dec,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,1000,2,1,28.88
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1450,2,2,70
Plot  Area,Ready To Move,"Sector 5, Uttara, Dhaka",4 Bedroom,N/A,1200,4,2,155
Super built-up  Area,17-Aug,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1296,2,3,80
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1540,3,2,90
Plot  Area,Ready To Move,"Block A, Bashundhara R-A, Dhaka",4 Bedroom,N/A,2894,4,1,245
Super built-up  Area,Ready To Move,"New Eskaton, Eskaton, Dhaka",3 BHK,N/A,1330,2,1,48
Built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,1200,2,1,65
Built-up  Area,Ready To Move,"Mirpur, Dhaka",3 Bedroom,N/A,1200,3,1,90
Super built-up  Area,Ready To Move,"Banani, Dhaka",3 BHK,N/A,2502,3,3,138
Built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",2 BHK,N/A,650,1,1,17
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",3 Bedroom,N/A,2400,2,1,150
Super built-up  Area,Ready To Move,"Block H, Banasree, Dhaka",2 BHK,N/A,1007,2,2,43
Super built-up  Area,Ready To Move,"Block B, Bashundhara R-A, Dhaka",2 BHK,N/A,1200,2,2,50
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,966,2,2,49.9
Built-up  Area,Ready To Move,"Block I, Bashundhara R-A, Dhaka",3 BHK,N/A,1630,2,1,98
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1640,3,2,229
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,782,2,2,55.68
Super built-up  Area,19-Apr,"Middle Monipur, Mirpur, Dhaka",2 BHK,N/A,1260,2,2,66.78
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1800,3,3,120
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1413,2,2,75
Super built-up  Area,Ready To Move,"Block K, Baridhara, Dhaka",2 BHK,N/A,1116,2,1,51.91
Super built-up  Area,Ready To Move,"Block B, Niketan, Dhaka",3 BHK,N/A,1530,2,1,45.9
Built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",4 Bedroom,N/A,3700,4,1,225
Built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",3 Bedroom,N/A,2497,3,2,140
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",3 BHK,N/A,1540,2,3,64
Super built-up  Area,18-Dec,"Gulshan 1, Gulshan, Dhaka",3 BHK,N/A,1436,3,1,74.75
Super built-up  Area,18-Jun,"Block K, Baridhara, Dhaka",2 BHK,N/A,1100,2,2,75
Plot  Area,Ready To Move,"Monipuripara, Tejgaon, Dhaka",2 Bedroom,N/A,276,3,3,23
Super built-up  Area,Ready To Move,"East Goran, Goran, Khilgaon, Dhaka",3 BHK,N/A,1427,3,2,120
Super built-up  Area,Ready To Move,"Block H, Banasree, Dhaka",3 BHK,N/A,2061,3,1,200
Super built-up  Area,18-Mar,"Gulshan 1, Gulshan, Dhaka",4 BHK,N/A,3067 - 8156,4,0,477
Built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",4 BHK,N/A,2650,4,2,150
Super built-up  Area,22-Dec,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1282,2,2,68.52
Built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1050,2,1,34
Built-up  Area,Ready To Move,"Niketan, Dhaka",3 BHK,N/A,1600,3,2,65
Super built-up  Area,22-Jan,"Banani, Dhaka",2 BHK,N/A,945,2,1,54
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,N/A,1500,2,1,78
Plot  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",7 Bedroom,N/A,950,7,0,115
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1870,3,3,110
Plot  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 Bedroom,N/A,1600,3,1,75
Super built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 BHK,N/A,880,1,1,16.5
Plot  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",4 Bedroom,N/A,1200,4,0,210
Super built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",3 BHK,N/A,1535,3,2,83
Built-up  Area,Ready To Move,"Kajla, Jatra Bari, Dhaka",2 BHK,N/A,950,2,1,57
Super built-up  Area,18-Aug,"Sector 7, Uttara, Dhaka",2 BHK,N/A,1360,2,1,65
Super built-up  Area,19-Mar,"Block F, aziz Moholla, Mohammadpur, Dhaka",2 BHK,N/A,1042 - 1105,2,0,54.005
Super built-up  Area,18-May,"Kajla, Jatra Bari, Dhaka",3 BHK,N/A,1280,3,1,50.4
Super built-up  Area,19-Jan,"East Bashabo, Bashabo, Dhaka",3 BHK,N/A,1260,2,2,85.05
Built-up  Area,Ready To Move,"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",8 Bedroom,N/A,5000,8,,250
Super built-up  Area,19-Dec,"Baridhara DOHS, Dhaka",5 BHK,N/A,3050,5,1,213
Super built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",3 BHK,N/A,1563.05,3,1,105
Super built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,N/A,1000,2,1,60
Super built-up  Area,17-Jul,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,1167,2,1,43.76
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",7 BHK,N/A,4000,7,2,225
Super built-up  Area,Ready To Move,"Tejgaon, Dhaka",3 BHK,N/A,1828,3,,110
Super built-up  Area,Ready To Move,"West Kalachandpur, Kalachandpur, Dhaka",2 BHK,N/A,890,2,1,35
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",3 BHK,N/A,1612,3,3,46.74
Plot  Area,Ready To Move,"Sector 3, Uttara, Dhaka",6 Bedroom,N/A,1034,5,,185
Super built-up  Area,19-Apr,"East Goran, Goran, Khilgaon, Dhaka",3 BHK,N/A,1710,4,2,91.31
Super built-up  Area,Ready To Move,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",2 BHK,N/A,957,2,1,58
Super built-up  Area,18-May,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",3 BHK,N/A,1250,2,3,44
Super built-up  Area,Ready To Move,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",3 BHK,N/A,2795,4,,235
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,1125,2,2,50
Super built-up  Area,18-Jul,"Baridhara, Dhaka",2 BHK,N/A,1020,2,1,30.6
Super built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",2 BHK,N/A,1200,2,2,50
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1735,3,3,135
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,2050,3,1,145
Plot  Area,Ready To Move,"Block A, Section 11, Mirpur, Dhaka",4 Bedroom,N/A,3750,4,0,760
Built-up  Area,Ready To Move,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1350,2,3,48
Super built-up  Area,18-May,"Sector 4, Uttara, Dhaka",2 BHK,N/A,1063,2,1,32
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1904,3,1,150
Built-up  Area,Ready To Move,"Tejgaon, Dhaka",4 Bedroom,N/A,4200,4,2,420
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",3 BHK,N/A,2000,3,1,175
Super built-up  Area,18-Dec,"Nikunja 2, Nikunja, Dhaka",2 BHK,N/A,1145 - 1340,2,0,43.49
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1425,2,2,75
Super built-up  Area,Ready To Move,"Block A, Banasree, Dhaka",3 BHK,N/A,1500,2,1,64.5
Built-up  Area,Ready To Move,"Baridhara DOHS, Dhaka",2 BHK,N/A,1060,2,1,60
Built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",3 BHK,N/A,1470,2,2,70
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",6 BHK,N/A,1300,6,0,99
Super built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",1 BHK,N/A,450,1,1,11
Super built-up  Area,18-Apr,"Block B, Bashundhara R-A, Dhaka",2 BHK,N/A,1152,2,1,64.5
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,1350,2,1,56
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,1550,3,3,65
Plot  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 Bedroom,N/A,1500,3,2,100
Plot  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",5 Bedroom,N/A,600,3,2,85
Plot  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",1 Bedroom,N/A,400,1,0,14
Super built-up  Area,Ready To Move,"Block C, Aftab Nagar, Dhaka",1 BHK,N/A,705,1,2,67
Built-up  Area,Ready To Move,"Block D, Section 2, Mirpur, Dhaka",2 BHK,N/A,770,1,1,36
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1242,2,3,51
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,1700,3,2,155
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,2144,3,2,145
Super built-up  Area,21-Jun,"Block A, Section 11, Mirpur, Dhaka",3 BHK,N/A,1704,3,2,110
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1070,2,1,52
Plot  Area,Ready To Move,"Banani, Dhaka",3 Bedroom,N/A,1846,3,2,300
Super built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",2 BHK,N/A,1340,2,2,55.7
Built-up  Area,Ready To Move,"Block A, Section 11, Mirpur, Dhaka",2 BHK,N/A,1025,2,1,46
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1015 - 1540,2,0,56.8
Super built-up  Area,Ready To Move,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,1200,2,2,52
Built-up  Area,18-Dec,"Block C, Section 2, Mirpur, Dhaka",4 Bedroom,N/A,2250,4,1,110
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,N/A,1550,2,3,80
Plot  Area,Ready To Move,"Middle Paikpara, Mirpur, Dhaka",4 Bedroom,N/A,1200,5,,325
Plot  Area,Ready To Move,"Taltola, Khilgaon, Dhaka",7 Bedroom,N/A,1800,7,1,250
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1200,2,2,60
Super built-up  Area,Ready To Move,"South Monipur, Mirpur, Dhaka",2 BHK,N/A,1327,2,2,98
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",2 BHK,N/A,1186,2,2,58
Built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",3 Bedroom,N/A,1783,3,1,115
Super built-up  Area,Ready To Move,"Dolipara, Uttara, Dhaka",3 BHK,N/A,1400,3,2,56
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,980,2,1,48
Super built-up  Area,Ready To Move,"Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1285,2,2,82
Super built-up  Area,Ready To Move,"Sector 4, Uttara, Dhaka",3 BHK,N/A,912,2,1,70
Built-up  Area,Ready To Move,"Eskaton, Dhaka",2 BHK,N/A,1225,2,2,47.6
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,1075,2,1,53
Built-up  Area,Ready To Move,"Banani, Dhaka",3 BHK,N/A,1260,2,2,54
Super built-up  Area,Ready To Move,"Kajla, Jatra Bari, Dhaka",3 BHK,N/A,1282,2,2,48.7
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",3 BHK,N/A,1909,3,2,88
Super built-up  Area,Ready To Move,"Eskaton, Dhaka",2 BHK,N/A,1359,2,1,87
Built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1207,2,2,43.5
Plot  Area,Ready To Move,"Eskaton, Dhaka",4 Bedroom,N/A,1736,6,0,190
Super built-up  Area,20-May,"Kakrail, Dhaka",4 BHK,N/A,2850,4,1,428
Super built-up  Area,Ready To Move,"Lalmatia, Dhaka",3 BHK,N/A,1595,3,2,65
Built-up  Area,18-Jun,"Sector 11, Uttara, Dhaka",3 BHK,N/A,1798,3,2,89
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",3 BHK,N/A,1475,3,2,78.29
Super built-up  Area,Ready To Move,"Sector 6, Uttara, Dhaka",3 BHK,N/A,1580,3,3,100
Super built-up  Area,Ready To Move,"1st Colony, Mirpur, Dhaka",2 BHK,N/A,1295,2,1,65
Built-up  Area,Ready To Move,"Baridhara, Dhaka",6 Bedroom,N/A,3600,6,0,141
Super built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",1 BHK,N/A,589,1,1,27
Super built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",3 BHK,N/A,1415,3,3,78
Super built-up  Area,18-Dec,"Block B, Bashundhara R-A, Dhaka",3 BHK,N/A,1787,3,2,98.29
Super built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",3 BHK,N/A,1787,3,2,125
Super built-up  Area,Ready To Move,"Sector 4, Uttara, Dhaka",3 BHK,N/A,1475,2,3,90
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",4 BHK,N/A,2000,4,1,75.5
Super built-up  Area,19-Mar,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,984,2,1,44.28
Super built-up  Area,19-Dec,"Block B, Bashundhara R-A, Dhaka",3 BHK,N/A,1520 - 1740,,,74.82
Super built-up  Area,Ready To Move,"Chandmiya Housing, Mohammadpur, Dhaka",3 BHK,N/A,2405,4,2,260
Built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",2 BHK,N/A,1080,2,2,72
Plot  Area,Ready To Move,"Block C, Aftab Nagar, Dhaka",2 Bedroom,N/A,1500,2,1,115
Super built-up  Area,Ready To Move,"East Merul Badda, Merul Badda, Badda, Dhaka",3 BHK,N/A,1900,3,2,119
Super built-up  Area,19-Aug,"Sector 11, Uttara, Dhaka",2 BHK,N/A,805,2,1,22.14
Super built-up  Area,Ready To Move,"Sector 4, Uttara, Dhaka",2 BHK,N/A,1153,2,2,56.4
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,1148,2,2,60
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",2 BHK,N/A,1110,2,2,55
Built-up  Area,Ready To Move,"Sector 6, Uttara, Dhaka",2 BHK,N/A,1100,2,2,42
Super built-up  Area,Ready To Move,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",2 BHK,N/A,1290,2,2,110
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1500,2,1,65
Super built-up  Area,18-Apr,"Block J, Bashundhara R-A, Dhaka",2 BHK,N/A,1080,2,2,39
Super built-up  Area,21-Jun,"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",3 BHK,N/A,1933,3,1,129
Built-up  Area,Ready To Move,"Faydabad, Dakshin Khan, Dhaka",5 Bedroom,N/A,3500,5,2,150
Built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,1060,2,2,60
Super built-up  Area,18-Aug,"Sector 1, Block F, Aftab Nagar, Dhaka",1 BHK,N/A,645,1,1,16.45
Plot  Area,Ready To Move,"Block I, Bashundhara R-A, Dhaka",8 Bedroom,N/A,2600,8,2,180
Super built-up  Area,18-Sep,"Sector 2, Block F, Aftab Nagar, Dhaka",1 BHK,N/A,645,1,1,16.45
Super built-up  Area,Ready To Move,"Block H, Bashundhara R-A, Dhaka",3 BHK,N/A,1644,3,3,84
Super built-up  Area,Ready To Move,"Sector 4, Uttara, Dhaka",2 BHK,N/A,1285,2,3,72.5
Plot  Area,Ready To Move,"Section 2, Mirpur, Dhaka",3 Bedroom,N/A,1200,3,1,90
Super built-up  Area,Ready To Move,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,N/A,910,2,1,40
Super built-up  Area,Ready To Move,"Lalmatia, Dhaka",3 BHK,N/A,1577,3,1,70
Plot  Area,17-May,"Sector 3, Uttara, Dhaka",3 Bedroom,N/A,4050,3,2,280
Super built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",3 BHK,N/A,2420,3,2,185
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,800,1,1,20
Built-up  Area,Ready To Move,"Block F, aziz Moholla, Mohammadpur, Dhaka",2 BHK,N/A,1060,2,2,55
Super built-up  Area,Ready To Move,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",2 BHK,N/A,1270,2,2,93
Super built-up  Area,18-Jun,"Mohammadia Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,900,2,2,22.5
